Wavelength,D50,D55,D65,D75
380,24.5,32.58,49.9755,66.703
385,27.2,35.34,52.3118,68.333
390,29.8,38.09,54.6482,69.963
395,39.6,49.52,68.7015,85.946
400,49.3,60.95,82.7549,101.929
405,52.9,64.75,87.1204,106.911
410,56.5,68.55,91.486,111.894
415,58.3,70.07,92.4589,112.346
420,60,71.58,93.4318,112.798
425,58.9,69.75,90.057,107.945
430,57.8,67.91,86.6823,103.092
435,66.3,76.76,95.7736,112.145
440,74.8,85.61,104.865,121.198
445,81,91.8,110.936,127.104
450,87.2,97.99,117.008,133.01
455,88.9,99.23,117.41,132.682
460,90.6,100.46,117.812,132.355
465,91,100.19,116.336,129.838
470,91.4,99.91,114.861,127.322
475,93.3,101.33,115.392,127.061
480,95.2,102.74,115.923,126.8
485,93.6,100.41,112.367,122.291
490,92,98.08,108.811,117.783
495,93.9,99.38,109.082,117.186
500,95.7,100.68,109.354,116.589
505,96.2,100.69,108.578,115.146
510,96.6,100.7,107.802,113.702
515,96.9,100.34,106.296,111.181
520,97.1,99.99,104.79,108.659
525,99.6,102.1,106.239,109.552
530,102.1,104.21,107.689,110.445
535,101.5,103.16,106.047,108.367
540,100.8,102.1,104.405,106.289
545,101.6,102.53,104.225,105.596
550,102.3,102.97,104.046,104.904
555,101.2,101.48,102.023,102.452
560,100,100,100,100
565,98.9,98.61,98.1671,97.808
570,97.7,97.22,96.3342,95.616
575,98.3,97.48,96.0611,94.914
580,98.9,97.75,95.788,94.213
585,96.2,94.59,92.2368,90.605
590,93.5,91.43,88.6856,86.997
595,95.6,92.93,89.3459,87.112
600,97.7,94.42,90.0062,87.227
605,98.5,94.78,89.8026,86.684
610,99.3,95.14,89.5991,86.14
615,99.2,94.68,88.6489,84.861
620,99,94.22,87.6987,83.581
625,97.4,92.33,85.4936,81.164
630,95.7,90.45,83.2886,78.747
635,97.3,91.39,83.4939,78.587
640,98.8,92.33,83.6992,78.428
645,97.3,90.59,81.863,76.614
650,95.7,88.85,80.0268,74.801
655,97,89.59,80.1207,74.562
660,98.2,90.32,80.2146,74.324
665,100.6,92.13,81.2462,74.873
670,103,93.95,82.2778,75.422
675,101.1,91.95,80.281,73.499
680,99.1,89.96,78.2842,71.576
685,93.3,84.82,74.0027,67.714
690,87.4,79.68,69.7213,63.852
695,89.5,81.26,70.6652,64.464
700,91.6,82.84,71.6091,65.076
705,92.3,83.84,72.979,66.573
710,92.9,84.84,74.349,68.07
715,84.9,77.54,67.9765,62.256
720,76.8,70.24,61.604,56.443
725,81.7,74.77,65.7448,60.343
730,86.6,79.3,69.8856,64.242
735,89.6,82.15,72.4863,66.697
740,92.6,84.99,75.087,69.151
745,85.4,78.44,69.3398,63.89
750,78.2,71.88,63.5927,58.629
755,68,62.34,55.0054,50.623
760,57.7,52.79,46.4182,42.617
765,70.3,64.36,56.6118,51.985
770,82.9,75.93,66.8054,61.352
775,80.6,73.87,65.0941,59.838
780,78.3,71.82,63.3828,58.324
