Wavelength,E
380,100
385,100
390,100
395,100
400,100
405,100
410,100
415,100
420,100
425,100
430,100
435,100
440,100
445,100
450,100
455,100
460,100
465,100
470,100
475,100
480,100
485,100
490,100
495,100
500,100
505,100
510,100
515,100
520,100
525,100
530,100
535,100
540,100
545,100
550,100
555,100
560,100
565,100
570,100
575,100
580,100
585,100
590,100
595,100
600,100
605,100
610,100
615,100
620,100
625,100
630,100
635,100
640,100
645,100
650,100
655,100
660,100
665,100
670,100
675,100
680,100
685,100
690,100
695,100
700,100
705,100
710,100
715,100
720,100
725,100
730,100
735,100
740,100
745,100
750,100
755,100
760,100
765,100
770,100
775,100
780,100
785,100
790,100
795,100
800,100
805,100
810,100
815,100
820,100
825,100
830,100
