Wavelength,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
380,1.87,1.18,0.82,0.57,1.87,1.05,2.56,1.21,0.9,1.11,0.91,0.96
385,2.36,1.48,1.02,0.7,2.35,1.31,3.18,1.5,1.12,0.63,0.63,0.64
390,2.94,1.84,1.26,0.87,2.92,1.63,3.84,1.81,1.36,0.62,0.46,0.45
395,3.47,2.15,1.44,0.98,3.45,1.9,4.53,2.13,1.6,0.57,0.37,0.33
400,5.17,3.44,2.57,2.01,5.1,3.11,6.15,3.17,2.59,1.48,1.29,1.19
405,19.49,15.69,14.36,13.75,18.91,14.8,19.37,13.08,12.8,12.16,12.68,12.48
410,6.13,3.85,2.7,1.95,6,3.43,7.37,3.83,3.05,2.12,1.59,1.12
415,6.24,3.74,2.45,1.59,6.11,3.3,7.05,3.45,2.56,2.7,1.79,0.94
420,7.01,4.19,2.73,1.76,6.85,3.68,7.71,3.86,2.86,3.74,2.46,1.08
425,7.79,4.62,3,1.93,7.58,4.07,8.41,4.42,3.3,5.14,3.33,1.37
430,8.56,5.06,3.28,2.1,8.31,4.45,9.15,5.09,3.82,6.75,4.49,1.78
435,43.67,34.98,31.85,30.28,40.76,32.61,44.14,34.1,32.62,34.39,33.94,29.05
440,16.94,11.81,9.47,8.03,16.06,10.74,17.52,12.42,10.77,14.86,12.13,7.9
445,10.72,6.27,4.02,2.55,10.32,5.48,11.35,7.68,5.84,10.4,6.95,2.65
450,11.35,6.63,4.25,2.7,10.91,5.78,12,8.6,6.57,10.76,7.19,2.71
455,11.89,6.93,4.44,2.82,11.4,6.03,12.58,9.46,7.25,10.67,7.12,2.65
460,12.37,7.19,4.59,2.91,11.83,6.25,13.08,10.24,7.86,10.11,6.72,2.49
465,12.75,7.4,4.72,2.99,12.17,6.41,13.45,10.84,8.35,9.27,6.13,2.33
470,13,7.54,4.8,3.04,12.4,6.52,13.71,11.33,8.75,8.29,5.46,2.1
475,13.15,7.62,4.86,3.08,12.54,6.58,13.88,11.71,9.06,7.29,4.79,1.91
480,13.23,7.65,4.87,3.09,12.58,6.59,13.95,11.98,9.31,7.91,5.66,3.01
485,13.17,7.62,4.85,3.09,12.52,6.56,13.93,12.17,9.48,16.64,14.29,10.83
490,13.13,7.62,4.88,3.14,12.47,6.56,13.82,12.28,9.61,16.73,14.96,11.88
495,12.85,7.45,4.77,3.06,12.2,6.42,13.64,12.32,9.68,10.44,8.97,6.88
500,12.52,7.28,4.67,3,11.89,6.28,13.43,12.35,9.74,5.94,4.72,3.43
505,12.2,7.15,4.62,2.98,11.61,6.2,13.25,12.44,9.88,3.34,2.33,1.49
510,11.83,7.05,4.62,3.01,11.33,6.19,13.08,12.55,10.04,2.35,1.47,0.92
515,11.5,7.04,4.73,3.14,11.1,6.3,12.93,12.68,10.26,1.88,1.1,0.71
520,11.22,7.16,4.99,3.41,10.96,6.6,12.78,12.77,10.48,1.59,0.89,0.6
525,11.05,7.47,5.48,3.9,10.97,7.12,12.6,12.72,10.63,1.47,0.83,0.63
530,11.03,8.04,6.25,4.69,11.16,7.94,12.44,12.6,10.76,1.8,1.18,1.1
535,11.18,8.88,7.34,5.81,11.54,9.07,12.33,12.43,10.96,5.71,4.9,4.56
540,11.53,10.01,8.78,7.32,12.12,10.49,12.26,12.22,11.18,40.98,39.59,34.4
545,27.74,24.88,23.82,22.59,27.78,25.22,29.52,28.96,27.71,73.69,72.84,65.4
550,17.05,16.64,16.14,15.11,17.73,17.46,17.05,16.51,16.29,33.61,32.61,29.48
555,13.55,14.59,14.59,13.88,14.47,15.63,12.44,11.79,12.28,8.24,7.52,7.16
560,14.33,16.16,16.63,16.33,15.2,17.22,12.58,11.76,12.74,3.38,2.83,3.08
