Wavelength,HP1,HP2,HP3,HP4,HP5
380,1.9,2.64,3.15,9.8,0.34
385,2.2,2.77,7.49,13.3,7.11
390,2.5,3.42,10.87,19.97,11.49
395,2.7,3.68,12.57,25.81,14.97
400,3.1,4.33,12.97,24.69,14.95
405,4.3,5.5,21.29,47.66,29.14
410,3.8,5.94,26.29,54.44,38.08
415,4.2,7.2,30.18,63.82,51.56
420,4.8,9.02,43.06,85.52,62.56
425,5.19,10.27,29.58,60.54,55.61
430,5.89,12.48,23.18,38.37,41.98
435,7.39,16.82,35.28,88.2,50.02
440,7.89,16.04,26.29,44.94,42.14
445,5.69,15.26,24.29,35.64,39.04
450,12.89,22.58,22.91,30.75,40.52
455,6.69,20.07,26.2,33.77,45.29
460,4.3,15.13,29.31,40.81,51.01
465,20.78,25.27,25.3,33.77,49.18
470,12.99,28.04,28.14,35.28,49.05
475,6.69,15.99,24.05,32.55,46.12
480,1.4,10.4,21.82,29.44,45.73
485,1.5,11.1,20.51,26.16,39.46
490,3.2,13.44,23.05,29.96,44.39
495,18.18,22.62,26.98,32.83,46.14
500,56.24,49.71,30.96,33.58,49.54
505,2.9,17.21,30.72,41.16,59.76
510,2.1,17.12,27.13,32.93,48.47
515,13.39,27.26,29.55,32.13,48.38
520,2.1,20.02,34.22,34.45,48.7
525,2,21.54,29.98,30.12,44.25
530,2.2,23.36,41.21,41.13,54.42
535,2.3,25.66,173.14,187.1,128.93
540,2.6,29.69,141.37,101.37,81.26
545,5.1,43.12,64.98,123.96,67.36
550,11.39,98.3,33.83,42.47,48.48
555,15.48,125.6,34.26,34.73,51.41
560,20.78,134.57,33.32,31.82,48.88
565,55.64,149.7,52.8,54.67,68.52
570,254.03,166.12,74.29,57.45,80.85
575,56.14,98.77,47.97,70.43,65.96
580,111.78,30.47,49.2,69.5,59.43
585,297.98,1.17,96.07,49.37,67.57
590,142.55,0.39,85.41,183.35,128.34
595,334.84,1.65,175.18,162.15,131.85
600,189.4,21.41,153.73,109.35,101.7
605,117.78,76.11,120.22,72.38,77.05
610,79.92,126.16,98.9,70.6,66.27
615,108.09,161.96,90.22,58.08,77.09
620,46.85,160.06,70.07,44.13,60.51
625,38.16,158.19,66.84,50.2,65.23
630,32.47,153.69,57.61,40.8,57.86
635,28.37,147.4,53.03,37.91,56.2
640,25.37,140.6,49.85,36.71,54.32
645,22.98,134.92,48.16,38.3,56.34
650,20.38,127.59,42.76,31.24,45.74
655,19.78,124.65,50.64,35.31,50.79
660,17.78,118.02,48.42,45.62,56.66
665,16.78,113.94,41.27,35.82,51.99
670,19.18,118.1,43.44,89.91,84.31
675,17.98,115.16,40.48,36.01,47.48
680,13.69,102.85,35.16,32.57,47.46
685,9.99,90.54,34.94,39.26,61.78
690,8.19,83.34,24.68,23.27,34.51
695,7.59,79.44,24.7,25.3,38.74
700,6.99,76.97,21.49,20.02,30.98
705,6.79,74.85,19.49,17.54,25.45
710,6.49,73.12,18.48,16.25,22.88
715,6.39,71.51,17.55,15.2,20.82
720,6.09,70.13,17.36,15.15,21.05
725,5.99,69.04,17.09,15.22,20.81
730,5.79,67.48,16.32,14.26,18.69
735,5.79,66.7,16.07,12.63,17.54
740,5.79,66.31,16.58,14.75,19.58
745,5.79,65.14,15.78,13.19,16.42
750,6.39,65.7,17.66,17.63,23.77
755,5.99,64.79,20.46,23.38,35.39
760,5.59,64.1,16.59,16.02,21.37
765,31.97,83.04,17.81,24.46,34.58
770,27.87,86.25,16.07,22.05,30.21
775,5.89,63.93,14.83,16.11,19.71
780,6.69,64.92,14.61,12.91,15.61
